# Flame Wheel
000000000;4291420554;0;Tx; 
000000000;4272321920;0;Rx; 
000000000;4272321920;1;U Rx;V
000000000;4272321920;2;A1; 
000000000;4272321920;3;A2; 
000000000;4272321920;4;Q;%
000000000;4300921482;0;MGPS; 
000000000;4300921482;1;TimeStamp; 
000000000;4300921482;2;Latitude; 
000000000;4300921482;3;Longitude; 
000000000;4300921482;4;Quality; 
000000000;4300921482;5;SatCount; 
000000000;4300921482;6;Altitude;m
000000000;4300921482;7;Distance;m
000000000;4300921482;8;Speed;m/s
000000000;4300921482;9;AltRelat.;m
000000000;4300921482;10;Course;°
000000000;4300921482;11;Azimuth;°
000000000;4300921482;12;Impulse;ms
000000000;4300921482;13;Trip;m
000000000;4300921482;14;Date; 
000219552;4300921482;1;5;0;2316
000219552;4300921482;2;9;0;2698114
000219552;4300921482;3;9;3;6292074
000219552;4300921482;4;0;0;1
000219552;4300921482;5;0;0;8
000219552;4300921482;6;1;0;309
000219552;4300921482;7;4;0;298427
000219552;4300921482;8;1;1;0
000219552;4300921482;9;1;0;26
000219553;4300921482;10;1;0;0
000219553;4300921482;11;1;0;98
000219556;4300921482;12;1;3;0
000219556;4300921482;13;4;0;0
000219556;4300921482;14;5;1;1706509
000219714;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000219833;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000219884;4300921482;1;5;0;2316
000219884;4300921482;2;9;0;2698114
000219884;4300921482;3;9;3;6292074
000219884;4300921482;4;0;0;1
000219884;4300921482;6;1;0;309
000220003;4300921482;5;0;0;8
000220003;4300921482;7;4;0;298427
000220003;4300921482;8;1;1;0
000220003;4300921482;9;1;0;26
000220003;4300921482;10;1;0;0
000220006;4300921482;12;1;3;0
000220006;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000220149;4300921482;11;1;0;98
000220149;4300921482;13;4;0;0
000220149;4300921482;14;5;1;1706509
000220298;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000220379;4300921482;1;5;0;2317
000220379;4300921482;2;9;0;2698115
000220379;4300921482;3;9;3;6292074
000220379;4300921482;4;0;0;1
000220379;4300921482;6;1;0;309
000220504;4300921482;5;0;0;8
000220504;4300921482;7;4;0;298427
000220504;4300921482;8;1;1;2
000220504;4300921482;9;1;0;26
000220508;4300921482;10;1;0;0
000220508;4300921482;12;1;3;0
