# Goblin 700
000000000;4291420554;0;Tx; 
000000000;4272321920;0;Rx; 
000000000;4272321920;1;U Rx;V
000000000;4272321920;2;A1; 
000000000;4272321920;3;A2; 
000000000;4272321920;4;Q;%
000000000;3920121719;0;MEZON 130; 
000000000;3920121719;1;U Battery;V
000000000;3920121719;2;I Battery;A
000000000;3920121719;3;U BEC;V
000000000;3920121719;4;I BEC;A
000000000;3920121719;5;Capacity;mAh
000000000;3920121719;6;Revolution;RPM
000000000;3920121719;7;Temp.;°C
000000000;3920121719;8;Run Time;s
000000000;3920121719;9;PWM;%
001009713;3920121719;1;1;1;229
001009713;3920121719;2;1;0;0
001009713;3920121719;3;1;1;55
001009713;3920121719;4;1;1;0
001009715;3920121719;5;4;0;0
001009715;3920121719;6;4;0;0
001009715;3920121719;7;1;0;21
001009715;3920121719;8;5;0;0
001009715;3920121719;9;1;0;0
001009799;3920121719;1;1;1;229
001009799;3920121719;2;1;0;0
001009799;3920121719;3;1;1;55
001009799;3920121719;4;1;1;0
001009799;3920121719;6;4;0;0
001009799;3920121719;9;1;0;0
001009839;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;100
001009904;3920121719;1;1;1;229
001009909;3920121719;2;1;0;0
001009910;3920121719;4;1;1;0
001009910;3920121719;5;4;0;0
001009910;3920121719;6;4;0;0
001009910;3920121719;9;1;0;0
001010031;3920121719;1;1;1;229
001010031;3920121719;2;1;0;0
001010031;3920121719;3;1;1;55
001010031;3920121719;4;1;1;0
001010032;3920121719;6;4;0;0
001010032;3920121719;9;1;0;0
001010141;3920121719;1;1;1;229
001010141;3920121719;2;1;0;0
001010141;3920121719;4;1;1;0
001010141;3920121719;6;4;0;0
001010141;3920121719;7;1;0;21
001010141;3920121719;9;1;0;0
001010199;3920121719;1;1;1;229
001010199;3920121719;2;1;0;0
001010199;3920121719;3;1;1;55
001010199;3920121719;4;1;1;0
001010199;3920121719;6;4;0;0
001010199;3920121719;9;1;0;0
001010319;3920121719;1;1;1;229
001010319;3920121719;2;1;0;0
001010319;3920121719;4;1;1;0
001010319;3920121719;5;4;0;0
001010319;3920121719;6;4;0;0
001010319;3920121719;9;1;0;0
