# Goblin 700
000000000;4291420554;0;Tx; 
000000000;4272321920;0;Rx; 
000000000;4272321920;1;U Rx;V
000000000;4272321920;2;A1; 
000000000;4272321920;3;A2; 
000000000;4272321920;4;Q;%
000000000;3920121719;0;MEZON 130; 
000000000;3920121719;1;U Battery;V
000000000;3920121719;2;I Battery;A
000000000;3920121719;3;U BEC;V
000000000;3920121719;4;I BEC;A
000000000;3920121719;5;Capacity;mAh
000000000;3920121719;6;Revolution;RPM
000000000;3920121719;7;Temp.;°C
000000000;3920121719;8;Run Time;s
000000000;3920121719;9;PWM;%
000180401;3920121719;1;1;1;498
000180401;3920121719;2;1;0;0
000180401;3920121719;3;1;1;55
000180401;3920121719;4;1;1;0
000180401;3920121719;5;4;0;0
000180401;3920121719;6;4;0;0
000180401;3920121719;7;1;0;21
000180401;3920121719;8;5;0;0
000180401;3920121719;9;1;0;0
000180541;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000180541;3920121719;1;1;1;498
000180541;3920121719;2;1;0;0
000180541;3920121719;4;1;1;0
000180542;3920121719;5;4;0;0
000180542;3920121719;6;4;0;0
000180542;3920121719;9;1;0;0
000180638;3920121719;1;1;1;498
000180641;3920121719;2;1;0;0
000180641;3920121719;3;1;1;55
000180641;3920121719;4;1;1;0
000180641;3920121719;6;4;0;0
000180641;3920121719;9;1;0;0
000180679;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;100
000180738;3920121719;1;1;1;498
000180738;3920121719;2;1;0;0
000180738;3920121719;4;1;1;0
000180738;3920121719;6;4;0;0
000180738;3920121719;7;1;0;21
000180738;3920121719;9;1;0;0
000180838;3920121719;1;1;1;498
000180838;3920121719;2;1;0;0
000180838;3920121719;3;1;1;55
000180838;3920121719;4;1;1;0
000180841;3920121719;6;4;0;0
000180841;3920121719;9;1;0;0
000180938;3920121719;1;1;1;498
000180938;3920121719;2;1;0;0
000180938;3920121719;4;1;1;0
000180938;3920121719;6;4;0;0
000180938;3920121719;8;5;0;0
000180938;3920121719;9;1;0;0
000181038;3920121719;1;1;1;498
000181038;3920121719;2;1;0;0
000181038;3920121719;3;1;1;55
000181038;3920121719;4;1;1;0
000181038;3920121719;6;4;0;0
000181038;3920121719;9;1;0;0
000181140;3920121719;1;1;1;498
000181140;3920121719;2;1;0;0
000181140;3920121719;4;1;1;0
000181140;3920121719;5;4;0;0
000181144;3920121719;6;4;0;0
000181144;3920121719;9;1;0;0
000181198;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;100
000181269;3920121719;1;1;1;498
000181269;3920121719;2;1;0;0
000181270;3920121719;3;1;1;55
000181270;3920121719;4;1;1;0
000181270;3920121719;6;4;0;0
000181270;3920121719;9;1;0;0
000181338;3920121719;1;1;1;498
000181338;3920121719;2;1;0;0
000181338;3920121719;4;1;1;0
000181338;3920121719;6;4;0;0
000181338;3920121719;7;1;0;21
000181338;3920121719;9;1;0;0
000181418;3920121719;1;1;1;498
000181422;3920121719;2;1;0;0
000181422;3920121719;3;1;1;55
000181422;3920121719;4;1;1;0
000181422;3920121719;6;4;0;0
000181422;3920121719;9;1;0;0
000181538;3920121719;1;1;1;498
000181538;3920121719;2;1;0;0
000181538;3920121719;4;1;1;0
000181538;3920121719;5;4;0;0
000181538;3920121719;6;4;0;0
000181538;3920121719;9;1;0;0
000181629;3920121719;1;1;1;498
000181629;3920121719;2;1;0;0
000181629;3920121719;3;1;1;55
000181630;3920121719;4;1;1;0
000181630;3920121719;6;4;0;0
000181630;3920121719;9;1;0;0
